,HGNC,name
661,HGNC:40212,ELN-AS1
662,HGNC:50582,ELOA-AS1
663,HGNC:44156,ELOVL2-AS1
664,HGNC:53656,lnc-IFNK-1
665,HGNC:40112,lnc-COX7A2L-4
666,HGNC:41299,lnc-RTN4-2
667,HGNC:54408,LNCPRESS1
668,HGNC:55507,lnc-THAP12-1
669,HGNC:18511,EMX2OS
670,HGNC:55659,lnc-CNPY1-1
671,HGNC:40214,ENO1-AS1
672,HGNC:42396,ENOX1-AS1
673,HGNC:42397,ENOX1-AS2
674,HGNC:45203,ENTPD1-AS1
675,HGNC:26710,ENTPD3-AS1
676,HGNC:55536,lnc-SLC25A37-1
677,HGNC:55605,lnc-ARL6IP5-1
678,HGNC:44265,LINC00893
679,HGNC:48579,LINC00894
680,HGNC:50504,EP300-AS1
681,HGNC:55728,lnc-SCAND1-3
682,HGNC:30749,EPB41L4A-AS1
683,HGNC:25643,EPB41L4A-DT
684,HGNC:50717,lnc-CCDC7-1
